Depto;año;Nombre - Indice;Posición;Puntaje;Grupo
SAN ANDRES Y PROVIDENCIA;2018;Entorno regulatorio;18;40,56810345;4
AMAZONAS;2018;Entorno regulatorio;31;27,9698519;5
GUAINÍA;2018;Entorno regulatorio;11;48,81435754;3
GUAVIARE;2018;Entorno regulatorio;27;36,29481451;5
VICHADA;2018;Entorno regulatorio;16;42,45791738;4
BOGOTÁ & CUNDINAMARCA;2018;Bienes intangibles;2;66,8915749;1
BOLÍVAR;2018;Bienes intangibles;13;16,6366934;4
BOYACÁ;2018;Bienes intangibles;10;22,07424648;4
CALDAS;2018;Bienes intangibles;6;32,42823235;2
CAQUETÁ;2018;Bienes intangibles;21;10,27509607;5
CAUCA;2018;Bienes intangibles;15;15,08618059;5
CESAR;2018;Bienes intangibles;24;6,068119232;5
CÓRDOBA;2018;Bienes intangibles;18;12,01305739;5
CHOCÓ;2018;Bienes intangibles;23;8,103543043;5
HUILA;2018;Bienes intangibles;17;12,28048343;5
LA GUAJIRA;2018;Bienes intangibles;25;4,951102357;5
MAGDALENA;2018;Bienes intangibles;22;9,860385653;5
ANTIOQUIA;2018;Bienes intangibles;1;93,64963581;1
META;2018;Bienes intangibles;14;15,18702871;5
NARIÑO;2018;Bienes intangibles;16;12,30596199;5
NORTE DE SANTANDER;2018;Bienes intangibles;12;20,26527065;4
QUINDÍO;2018;Bienes intangibles;9;23,41640436;4
RISARALDA;2018;Bienes intangibles;5;49,9438795;1
SANTANDER;2018;Bienes intangibles;3;62,2345632;1
SUCRE;2018;Bienes intangibles;11;20,85310001;4
TOLIMA;2018;Bienes intangibles;20;10,79075036;5
VALLE DEL CAUCA;2018;Bienes intangibles;4;50,29182129;1
ATLÁNTICO;2018;Bienes intangibles;7;30,31432494;3
ARAUCA;2018;Bienes intangibles;27;1,071530638;5
CASANARE;2018;Bienes intangibles;26;1,656252278;5
PUTUMAYO;2018;Bienes intangibles;28;0,894152723;5
SAN ANDRES Y PROVIDENCIA;2018;Bienes intangibles;19;11,83644167;5
AMAZONAS;2018;Bienes intangibles;8;27,77083281;3
GUAINÍA;2018;Bienes intangibles;30;0;5
GUAVIARE;2018;Bienes intangibles;29;0,064471696;5
VICHADA;2018;Bienes intangibles;30;0;5
BOGOTÁ & CUNDINAMARCA;2018;Bienes y servicios creativos;1;100;1
BOLÍVAR;2018;Bienes y servicios creativos;3;54,22475485;2
BOYACÁ;2018;Bienes y servicios creativos;17;2,169519783;5
CALDAS;2018;Bienes y servicios creativos;8;18,58404728;3
CAQUETÁ;2018;Bienes y servicios creativos;10;8,145975023;4
CAUCA;2018;Bienes y servicios creativos;13;3,655685866;5
CESAR;2018;Bienes y servicios creativos;24;0,494984819;5
CÓRDOBA;2018;Bienes y servicios creativos;20;1,523717575;5
CHOCÓ;2018;Bienes y servicios creativos;27;0;5
HUILA;2018;Bienes y servicios creativos;19;1,560176501;5
LA GUAJIRA;2018;Bienes y servicios creativos;25;0,270377808;5
MAGDALENA;2018;Bienes y servicios creativos;11;4,914711921;4
ANTIOQUIA;2018;Bienes y servicios creativos;2;90,54477326;1
META;2018;Bienes y servicios creativos;23;0,984942455;5
NARIÑO;2018;Bienes y servicios creativos;15;2,186985759;5
NORTE DE SANTANDER;2018;Bienes y servicios creativos;14;2,541335473;5
QUINDÍO;2018;Bienes y servicios creativos;9;8,534034836;4
RISARALDA;2018;Bienes y servicios creativos;5;35,16338473;2
SANTANDER;2018;Bienes y servicios creativos;12;3,702458359;5
SUCRE;2018;Bienes y servicios creativos;21;1,163094624;5
TOLIMA;2018;Bienes y servicios creativos;18;1,663638033;5
VALLE DEL CAUCA;2018;Bienes y servicios creativos;7;20,06526906;3
ATLÁNTICO;2018;Bienes y servicios creativos;6;33,10938066;2
ARAUCA;2018;Bienes y servicios creativos;26;0,110882054;5
CASANARE;2018;Bienes y servicios creativos;22;1,102946252;5
PUTUMAYO;2018;Bienes y servicios creativos;16;2,185518767;5
SAN ANDRES Y PROVIDENCIA;2018;Bienes y servicios creativos;4;50;2
AMAZONAS;2018;Bienes y servicios creativos;27;0;5
GUAINÍA;2018;Bienes y servicios creativos;27;0;5
GUAVIARE;2018;Bienes y servicios creativos;27;0;5
VICHADA;2018;Bienes y servicios creativos;27;0;5
BOGOTÁ & CUNDINAMARCA;2018;Capital Humano e Investigación;2;67,40729049;1
BOLÍVAR;2018;Capital Humano e Investigación;11;48,05680194;2
BOYACÁ;2018;Capital Humano e Investigación;4;61,88933078;1
CALDAS;2018;Capital Humano e Investigación;6;55,00191801;1
CAQUETÁ;2018;Capital Humano e Investigación;22;33,4780189;3
CAUCA;2018;Capital Humano e Investigación;19;35,48518078;3
CESAR;2018;Capital Humano e Investigación;21;34,18950787;3
CÓRDOBA;2018;Capital Humano e Investigación;20;34,58902221;3
CHOCÓ;2018;Capital Humano e Investigación;31;17,25049259;5
HUILA;2018;Capital Humano e Investigación;15;39,82269959;3
LA GUAJIRA;2018;Capital Humano e Investigación;27;20,90913674;5
MAGDALENA;2018;Capital Humano e Investigación;24;29,08244453;4
ANTIOQUIA;2018;Capital Humano e Investigación;3;64,27311841;1
META;2018;Capital Humano e Investigación;7;54,87861412;1
NARIÑO;2018;Capital Humano e Investigación;16;39,09974611;3
NORTE DE SANTANDER;2018;Capital Humano e Investigación;14;40,90129755;2
QUINDÍO;2018;Capital Humano e Investigación;12;47,88662217;2
RISARALDA;2018;Capital Humano e Investigación;10;52,1612669;1
SANTANDER;2018;Capital Humano e Investigación;1;76,22784909;1
SUCRE;2018;Capital Humano e Investigación;18;35,88269191;3
TOLIMA;2018;Capital Humano e Investigación;17;38,73994164;3
VALLE DEL CAUCA;2018;Capital Humano e Investigación;9;52,55762206;1
ATLÁNTICO;2018;Capital Humano e Investigación;5;55,03138753;1
ARAUCA;2018;Capital Humano e Investigación;23;29,89369096;4
CASANARE;2018;Capital Humano e Investigación;8;53,98226638;1
PUTUMAYO;2018;Capital Humano e Investigación;13;42,3078466;2
SAN ANDRES Y PROVIDENCIA;2018;Capital Humano e Investigación;25;28,45918869;4
AMAZONAS;2018;Capital Humano e Investigación;30;19,01669131;5
GUAINÍA;2018;Capital Humano e Investigación;29;19,17217447;5
GUAVIARE;2018;Capital Humano e Investigación;26;22,93685422;5
VICHADA;2018;Capital Humano e Investigación;28;20,47273672;5
BOGOTÁ & CUNDINAMARCA;2018;Tasa de cobertura neta en educación secundaria;16;73,11845208;2
BOLÍVAR;2018;Tasa de cobertura neta en educación secundaria;13;76,01019967;2
BOYACÁ;2018;Tasa de cobertura neta en educación secundaria;8;80,43864645;2
CALDAS;2018;Tasa de cobertura neta en educación secundaria;19;67,7538188;3
CAQUETÁ;2018;Tasa de cobertura neta en educación secundaria;26;43,25137226;4
CAUCA;2018;Tasa de cobertura neta en educación secundaria;20;64,44051596;3
CESAR;2018;Tasa de cobertura neta en educación secundaria;3;83,9715256;1
CÓRDOBA;2018;Tasa de cobertura neta en educación secundaria;12;76,1209147;2
CHOCÓ;2018;Tasa de cobertura neta en educación secundaria;27;29,35956994;4
HUILA;2018;Tasa de cobertura neta en educación secundaria;11;76,25798302;2
LA GUAJIRA;2018;Tasa de cobertura neta en educación secundaria;28;25,37068927;4
MAGDALENA;2018;Tasa de cobertura neta en educación secundaria;18;70,36521646;3
ANTIOQUIA;2018;Tasa de cobertura neta en educación secundaria;9;77,90290981;2
META;2018;Tasa de cobertura neta en educación secundaria;4;83,6777295;1
NARIÑO;2018;Tasa de cobertura neta en educación secundaria;25;45,85867506;4
NORTE DE SANTANDER;2018;Tasa de cobertura neta en educación secundaria;10;77,3683795;2
QUINDÍO;2018;Tasa de cobertura neta en educación secundaria;14;75,57234942;2
RISARALDA;2018;Tasa de cobertura neta en educación secundaria;7;81,21450197;2
SANTANDER;2018;Tasa de cobertura neta en educación secundaria;1;100;1
SUCRE;2018;Tasa de cobertura neta en educación secundaria;6;82,26718007;1
TOLIMA;2018;Tasa de cobertura neta en educación secundaria;15;73,90875764;2
VALLE DEL CAUCA;2018;Tasa de cobertura neta en educación secundaria;17;72,259406;3
ATLÁNTICO;2018;Tasa de cobertura neta en educación secundaria;5;83,19313537;1
ARAUCA;2018;Tasa de cobertura neta en educación secundaria;24;47,69474349;4
CASANARE;2018;Tasa de cobertura neta en educación secundaria;2;93,13120282;1
PUTUMAYO;2018;Tasa de cobertura neta en educación secundaria;21;58,4304249;3
SAN ANDRES Y PROVIDENCIA;2018;Tasa de cobertura neta en educación secundaria;23;50,20991293;4
AMAZONAS;2018;Tasa de cobertura neta en educación secundaria;22;52,12482252;4
GUAINÍA;2018;Tasa de cobertura neta en educación secundaria;30;5,351401339;5
GUAVIARE;2018;Tasa de cobertura neta en educación secundaria;29;18,80335967;4
VICHADA;2018;Tasa de cobertura neta en educación secundaria;31;0;5
BOGOTÁ & CUNDINAMARCA;2018;Tasa de cobertura neta en educación media;4;95,43770999;1
BOLÍVAR;2018;Tasa de cobertura neta en educación media;12;81,02938818;1
BOYACÁ;2018;Tasa de cobertura neta en educación media;3;97,32436758;1
CALDAS;2018;Tasa de cobertura neta en educación media;13;80,72947347;1
CAQUETÁ;2018;Tasa de cobertura neta en educación media;26;37,78487144;4
CAUCA;2018;Tasa de cobertura neta en educación media;21;59,5155135;3
CESAR;2018;Tasa de cobertura neta en educación media;11;82,03143783;1
CÓRDOBA;2018;Tasa de cobertura neta en educación media;15;78,70866462;1
CHOCÓ;2018;Tasa de cobertura neta en educación media;27;31,54006116;4
HUILA;2018;Tasa de cobertura neta en educación media;17;73,84562648;2
LA GUAJIRA;2018;Tasa de cobertura neta en educación media;29;27,98900378;4
MAGDALENA;2018;Tasa de cobertura neta en educación media;19;71,70401908;2
ANTIOQUIA;2018;Tasa de cobertura neta en educación media;14;80,24153084;1
META;2018;Tasa de cobertura neta en educación media;9;82,71760182;1
NARIÑO;2018;Tasa de cobertura neta en educación media;25;49,6040814;3
NORTE DE SANTANDER;2018;Tasa de cobertura neta en educación media;18;73,11808063;2
QUINDÍO;2018;Tasa de cobertura neta en educación media;5;92,81356869;1
RISARALDA;2018;Tasa de cobertura neta en educación media;7;86,30705992;1
SANTANDER;2018;Tasa de cobertura neta en educación media;1;100;1
SUCRE;2018;Tasa de cobertura neta en educación media;8;83,07290646;1
TOLIMA;2018;Tasa de cobertura neta en educación media;10;82,45692061;1
VALLE DEL CAUCA;2018;Tasa de cobertura neta en educación media;16;75,27296637;2
ATLÁNTICO;2018;Tasa de cobertura neta en educación media;2;99,07170822;1
ARAUCA;2018;Tasa de cobertura neta en educación media;23;52,00014074;3
CASANARE;2018;Tasa de cobertura neta en educación media;6;87,80715939;1
PUTUMAYO;2018;Tasa de cobertura neta en educación media;22;58,49617722;3
SAN ANDRES Y PROVIDENCIA;2018;Tasa de cobertura neta en educación media;20;68,2523461;2
AMAZONAS;2018;Tasa de cobertura neta en educación media;24;50,05288411;3
GUAINÍA;2018;Tasa de cobertura neta en educación media;31;0;5
GUAVIARE;2018;Tasa de cobertura neta en educación media;28;30,07692658;4
VICHADA;2018;Tasa de cobertura neta en educación media;30;14,35777495;5
BOGOTÁ & CUNDINAMARCA;2018;Esperanza de vida escolar;1;100;1
BOLÍVAR;2018;Esperanza de vida escolar;15;43,1052447;3
BOYACÁ;2018;Esperanza de vida escolar;6;80,8785258;2
CALDAS;2018;Esperanza de vida escolar;2;85,86282141;1
CAQUETÁ;2018;Esperanza de vida escolar;29;0;5
CAUCA;2018;Esperanza de vida escolar;9;57,51725104;2
CESAR;2018;Esperanza de vida escolar;23;25,50422828;4
CÓRDOBA;2018;Esperanza de vida escolar;25;19,77999416;4
CHOCÓ;2018;Esperanza de vida escolar;29;0;5
HUILA;2018;Esperanza de vida escolar;13;47,54508006;3
LA GUAJIRA;2018;Esperanza de vida escolar;26;10,80075192;5
MAGDALENA;2018;Esperanza de vida escolar;27;9,465720815;5
ANTIOQUIA;2018;Esperanza de vida escolar;1;100;1
META;2018;Esperanza de vida escolar;20;30,53146405;4
NARIÑO;2018;Esperanza de vida escolar;18;35,20211678;3
NORTE DE SANTANDER;2018;Esperanza de vida escolar;24;21,2222283;4
QUINDÍO;2018;Esperanza de vida escolar;7;79,83750954;2
RISARALDA;2018;Esperanza de vida escolar;8;76,54695929;2
SANTANDER;2018;Esperanza de vida escolar;5;81,99942408;2
SUCRE;2018;Esperanza de vida escolar;22;26,40008242;4
TOLIMA;2018;Esperanza de vida escolar;12;48,34495344;3
VALLE DEL CAUCA;2018;Esperanza de vida escolar;3;85,1628263;1
ATLÁNTICO;2018;Esperanza de vida escolar;4;83,34965919;1
ARAUCA;2018;Esperanza de vida escolar;10;53,26814791;2
CASANARE;2018;Esperanza de vida escolar;11;49,11740422;3
PUTUMAYO;2018;Esperanza de vida escolar;17;38,29703953;3
SAN ANDRES Y PROVIDENCIA;2018;Esperanza de vida escolar;14;46,25273802;3
AMAZONAS;2018;Esperanza de vida escolar;28;8,417146599;5
GUAINÍA;2018;Esperanza de vida escolar;21;28,70844365;4
GUAVIARE;2018;Esperanza de vida escolar;16;43,06910605;3
VICHADA;2018;Esperanza de vida escolar;19;34,97272587;3
BOGOTÁ & CUNDINAMARCA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);1;100;1
BOLÍVAR;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);26;40,94982925;3
BOYACÁ;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);2;95,23701602;1
CALDAS;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);12;69,77550174;2
CAQUETÁ;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);22;47,12365922;3
CAUCA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);25;42,34258306;3
CESAR;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);17;55,73024664;2
CÓRDOBA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);19;54,47047081;2
CHOCÓ;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);31;0;5
HUILA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);7;74,64207808;2
LA GUAJIRA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);29;25,15667654;4
MAGDALENA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);28;26,73192783;4
ANTIOQUIA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);14;66,83530648;2
META;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);6;78,19888125;1
NARIÑO;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);8;74,25578195;2
NORTE DE SANTANDER;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);4;83,67070095;1
QUINDÍO;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);11;70,29317467;2
RISARALDA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);5;78,63322119;1
SANTANDER;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);3;94,17952355;1
SUCRE;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);20;54,01985837;2
TOLIMA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);16;59,23817455;2
VALLE DEL CAUCA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);9;73,42046732;2
ATLÁNTICO;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);15;63,99791308;2
ARAUCA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);13;68,74062672;2
CASANARE;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);10;72,37468001;2
PUTUMAYO;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);18;54,6354603;2
SAN ANDRES Y PROVIDENCIA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);23;44,43492547;3
AMAZONAS;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);30;14,71377718;5
GUAINÍA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);21;51,15895149;2
GUAVIARE;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);24;42,90335042;3
VICHADA;2018;Desempeño escolar lectura matemáticas y ciencia (Saber 11);27;34,46062535;4
BOGOTÁ & CUNDINAMARCA;2018;Índice sintético de calidad educativa;1;100;1
BOLÍVAR;2018;Índice sintético de calidad educativa;27;18,6440678;4
BOYACÁ;2018;Índice sintético de calidad educativa;4;66,44067797;2
CALDAS;2018;Índice sintético de calidad educativa;14;40,6779661;3
CAQUETÁ;2018;Índice sintético de calidad educativa;15;40;3
CAUCA;2018;Índice sintético de calidad educativa;26;18,98305085;4
CESAR;2018;Índice sintético de calidad educativa;21;28,13559322;4
CÓRDOBA;2018;Índice sintético de calidad educativa;18;32,88135593;4
CHOCÓ;2018;Índice sintético de calidad educativa;30;0;5
HUILA;2018;Índice sintético de calidad educativa;6;60,6779661;2
LA GUAJIRA;2018;Índice sintético de calidad educativa;23;26,10169492;4
MAGDALENA;2018;Índice sintético de calidad educativa;28;14,57627119;4
ANTIOQUIA;2018;Índice sintético de calidad educativa;13;47,11864407;3
META;2018;Índice sintético de calidad educativa;10;48,81355932;3
NARIÑO;2018;Índice sintético de calidad educativa;4;66,44067797;2
NORTE DE SANTANDER;2018;Índice sintético de calidad educativa;3;68,81355932;1
QUINDÍO;2018;Índice sintético de calidad educativa;8;56,94915254;2
RISARALDA;2018;Índice sintético de calidad educativa;12;47,45762712;3
SANTANDER;2018;Índice sintético de calidad educativa;2;85,08474576;1
SUCRE;2018;Índice sintético de calidad educativa;22;26,44067797;4
TOLIMA;2018;Índice sintético de calidad educativa;20;30,16949153;4
VALLE DEL CAUCA;2018;Índice sintético de calidad educativa;17;35,25423729;4
ATLÁNTICO;2018;Índice sintético de calidad educativa;19;31,18644068;4
ARAUCA;2018;Índice sintético de calidad educativa;7;59,66101695;2
CASANARE;2018;Índice sintético de calidad educativa;5;63,05084746;2
PUTUMAYO;2018;Índice sintético de calidad educativa;9;49,49152542;3
SAN ANDRES Y PROVIDENCIA;2018;Índice sintético de calidad educativa;16;38,6440678;3
AMAZONAS;2018;Índice sintético de calidad educativa;29;3,050847458;5
GUAINÍA;2018;Índice sintético de calidad educativa;11;48,13559322;3
GUAVIARE;2018;Índice sintético de calidad educativa;25;20,33898305;4
VICHADA;2018;Índice sintético de calidad educativa;24;25,42372881;4
BOGOTÁ & CUNDINAMARCA;2018;Tasa de cobertura bruta en educación superior;1;100;1
BOLÍVAR;2018;Tasa de cobertura bruta en educación superior;12;34,76039113;3
BOYACÁ;2018;Tasa de cobertura bruta en educación superior;3;66,79955546;1
CALDAS;2018;Tasa de cobertura bruta en educación superior;6;60,80218675;1
CAQUETÁ;2018;Tasa de cobertura bruta en educación superior;23;18,10910119;4
CAUCA;2018;Tasa de cobertura bruta en educación superior;13;32,34283287;3
CESAR;2018;Tasa de cobertura bruta en educación superior;15;30,32188591;3
CÓRDOBA;2018;Tasa de cobertura bruta en educación superior;22;18,2115781;4
CHOCÓ;2018;Tasa de cobertura bruta en educación superior;21;18,21422278;4
HUILA;2018;Tasa de cobertura bruta en educación superior;14;30,60453298;3
LA GUAJIRA;2018;Tasa de cobertura bruta en educación superior;24;15,14644774;4
MAGDALENA;2018;Tasa de cobertura bruta en educación superior;17;25,99441353;4
ANTIOQUIA;2018;Tasa de cobertura bruta en educación superior;7;56,95261558;2
META;2018;Tasa de cobertura bruta en educación superior;16;29,85714986;3
NARIÑO;2018;Tasa de cobertura bruta en educación superior;20;20,33698544;4
NORTE DE SANTANDER;2018;Tasa de cobertura bruta en educación superior;8;52,24584268;2
QUINDÍO;2018;Tasa de cobertura bruta en educación superior;9;52,0360262;2
RISARALDA;2018;Tasa de cobertura bruta en educación superior;4;62,93455172;1
SANTANDER;2018;Tasa de cobertura bruta en educación superior;2;71,84182058;1
SUCRE;2018;Tasa de cobertura bruta en educación superior;18;24,07730582;4
TOLIMA;2018;Tasa de cobertura bruta en educación superior;11;36,33990282;3
VALLE DEL CAUCA;2018;Tasa de cobertura bruta en educación superior;10;41,34590438;3
ATLÁNTICO;2018;Tasa de cobertura bruta en educación superior;5;62,48221705;1
ARAUCA;2018;Tasa de cobertura bruta en educación superior;29;1,709436434;5
CASANARE;2018;Tasa de cobertura bruta en educación superior;19;22,67180554;4
PUTUMAYO;2018;Tasa de cobertura bruta en educación superior;28;2,956125868;5
SAN ANDRES Y PROVIDENCIA;2018;Tasa de cobertura bruta en educación superior;25;12,62714011;4
AMAZONAS;2018;Tasa de cobertura bruta en educación superior;31;0;5
